Wavelength_nm,Responsivity
618.0,8.48080450
619.0,8.53498964
620.0,8.58964787
621.0,8.64467092
622.0,8.70008070
623.0,8.75572884
624.0,8.81175355
625.0,8.86786509
626.0,8.92444842
627.0,8.98096972
628.0,9.03806871
629.0,9.09516800
630.0,9.15275639
631.0,9.21052335
632.0,9.26870616
633.0,9.32718485
634.0,9.38606494
635.0,9.44528932
636.0,9.50494477
637.0,9.56487634
638.0,9.62528360
639.0,9.68571032
640.0,9.74668001
641.0,9.80721236
642.0,9.86821315
643.0,9.92861311
644.0,9.98914170
645.0,10.04917865
646.0,10.10910452
647.0,10.16869511
648.0,10.22817438
649.0,10.28750626
650.0,10.34696140
651.0,10.40646412
652.0,10.46647407
653.0,10.52673471
654.0,10.58787055
655.0,10.64953056
656.0,10.71221162
657.0,10.77576178
658.0,10.84024777
659.0,10.90574677
660.0,10.97217496
661.0,11.03962779
662.0,11.10804119
663.0,11.17750796
664.0,11.24795015
665.0,11.31950159
666.0,11.39199741
667.0,11.46552937
668.0,11.53999172
669.0,11.61509442
670.0,11.69106863
671.0,11.76712563
672.0,11.84368779
673.0,11.91997853
674.0,11.99623949
675.0,12.07193065
676.0,12.14713636
677.0,12.22141791
678.0,12.29506732
679.0,12.36729919
680.0,12.43919088
681.0,12.50903911
682.0,12.57925817
683.0,12.64682693
684.0,12.71490139
685.0,12.78136172
686.0,12.84783474
687.0,12.91353477
688.0,12.97909996
689.0,13.04440835
690.0,13.10975109
691.0,13.17524268
692.0,13.24112629
693.0,13.30770695
694.0,13.37502746
695.0,13.44390781
696.0,13.51365618
697.0,13.58619703
698.0,13.65998826
699.0,13.73663001
700.0,13.81517811
701.0,13.89642520
702.0,13.97989437
703.0,14.06579101
704.0,14.15379409
705.0,14.24387161
706.0,14.33562998
707.0,14.42895758
708.0,14.52349845
709.0,14.61877271
710.0,14.71505146
711.0,14.81086515
712.0,14.90731946
713.0,15.00278804
714.0,15.09822863
715.0,15.19257657
716.0,15.28635231
717.0,15.37903252
718.0,15.47094151
719.0,15.56163105
720.0,15.65174894
721.0,15.74029723
722.0,15.82881324
723.0,15.91540063
724.0,16.00254920
725.0,16.08804842
726.0,16.17416683
727.0,16.26001759
728.0,16.34651106
729.0,16.43373732
730.0,16.52205472
731.0,16.61179256
732.0,16.70310381
733.0,16.79638838
734.0,16.89149826
735.0,16.98919831
736.0,17.08866037
737.0,17.19145304
738.0,17.29592344
739.0,17.40408406
740.0,17.51413524
741.0,17.62714525
742.0,17.74231706
743.0,17.85981926
744.0,17.97927047
745.0,18.10044487
746.0,18.22305657
747.0,18.34664679
748.0,18.47114560
749.0,18.59545365
750.0,18.72044355
751.0,18.84330637
752.0,18.96682322
753.0,19.08632709
754.0,19.20548405
755.0,19.32058607
756.0,19.43383791
757.0,19.54329460
758.0,19.65002613
759.0,19.75318271
760.0,19.85362670
761.0,19.95034000
762.0,20.04519773
763.0,20.13571046
764.0,20.22578022
765.0,20.31076429
766.0,20.39616206
767.0,20.47763371
768.0,20.55908985
769.0,20.63896489
770.0,20.71868336
771.0,20.79837119
772.0,20.87859967
773.0,20.95995617
774.0,21.04271394
775.0,21.12769258
776.0,21.21450330
777.0,21.30467980
778.0,21.39642084
779.0,21.49259443
780.0,21.59012354
781.0,21.69169988
782.0,21.79486482
783.0,21.90076044
784.0,22.00835856
785.0,22.11768889
786.0,22.22828547
787.0,22.33980315
788.0,22.45197244
789.0,22.56425257
790.0,22.67682015
791.0,22.78867918
792.0,22.90096565
793.0,23.01186170
794.0,23.12345257
795.0,23.23419682
796.0,23.34564995
797.0,23.45744750
798.0,23.57030642
799.0,23.68453139
800.0,23.80050235
801.0,23.91869449
802.0,24.03923853
803.0,24.16289371
804.0,24.28900002
805.0,24.41921404
806.0,24.55130581
807.0,24.68882188
808.0,24.82806602
809.0,24.97227683
810.0,25.11885451
811.0,25.26938480
812.0,25.42279397
813.0,25.57940920
814.0,25.73877551
815.0,25.90064703
816.0,26.06468930
817.0,26.23003453
818.0,26.39699636
819.0,26.56297266
820.0,26.73068923
821.0,26.89365430
822.0,27.05775644
823.0,27.21573421
824.0,27.37243462
825.0,27.52317686
826.0,27.67036044
827.0,27.81184563
828.0,27.94877032
829.0,28.08010982
830.0,28.20741322
831.0,28.32903622
832.0,28.44831964
833.0,28.56186084
834.0,28.67509028
835.0,28.78306674
836.0,28.89132276
837.0,28.99749768
838.0,29.10372832
839.0,29.21009270
840.0,29.31721324
841.0,29.42583211
842.0,29.53620942
843.0,29.64907620
844.0,29.76424006
845.0,29.88256000
846.0,30.00296115
847.0,30.12652847
848.0,30.25159026
849.0,30.37864509
850.0,30.50666003
851.0,30.63435624
852.0,30.76204720
853.0,30.88789058
854.0,31.01225726
855.0,31.13378093
856.0,31.25274969
857.0,31.36805821
858.0,31.48079007
859.0,31.58890947
860.0,31.69552065
